"state","county","Number_children","Number_adults","Family_Size","housing_cost","food_cost","transportation_cost","healthcare_cost","other_necessities_cost","childcare_cost","taxes","total_cost","median_family_income","remaining_income","deficit_status","child_coef"
"AK","Bethel Census Area",1,1,2,19368,5212.92,9481.45,9146.53,8906.64,11985.07,8492.87,72593.47,55433.2,-17160.27,TRUE,-17836
"AK","Bethel Census Area",1,2,3,19368,8072.68,11186.78,15239.81,9942.84,11985.07,9622.61,85417.79,55433.2,-29984.59,TRUE,-17836
"AK","Bethel Census Area",2,1,3,19368,7370.99,10161.64,12199.78,9688.59,22122.64,10934.38,91846.01,55433.2,-36412.81,TRUE,-17836
"AK","Bethel Census Area",2,2,4,19368,9969.24,12005.53,18293.06,10630.04,22122.64,10978.05,103366.57,55433.2,-47933.37,TRUE,-17836
"AK","Bethel Census Area",3,1,4,24096,9932.43,10950.21,15253.03,12329.84,25241.89,14676.19,112479.59,55433.2,-57046.39,TRUE,-17836
"AK","Bethel Census Area",3,2,5,24096,12237.59,12120.81,21346.31,13165.09,25241.89,13445.66,121653.35,55433.2,-66220.15,TRUE,-17836
"AK","Bethel Census Area",4,1,5,24096,12225.8,11089.14,18306.28,13160.82,25241.89,14734.27,118854.2,55433.2,-63421,TRUE,-17836
"AK","Bethel Census Area",4,2,6,24096,15027.59,12010.66,24399.56,14176.02,25241.89,13519.93,128471.65,55433.2,-73038.45,TRUE,-17836
"AK","Bristol Bay Borough",0,1,1,9120,3314.12,13318.29,6369.28,4505.37,0,5764.25,42391.31,100848.7,58457.39,FALSE,-15749
"AK","Bristol Bay Borough",0,2,2,10308,6075.89,15016.3,12738.56,5936.53,0,6902.36,56977.65,100848.7,43871.05,FALSE,-15749
"AK","Bristol Bay Borough",1,1,2,12984,4881.53,13792.82,9559.67,6473.39,10029.52,6771.68,64492.61,100848.7,36356.09,FALSE,-15749
"AK","Bristol Bay Borough",1,2,3,12984,7559.5,15538.46,15928.95,7443.72,10029.52,8339.95,77824.1,100848.7,23024.6,FALSE,-15749
"AK","Bristol Bay Borough",2,1,3,12984,6902.42,14361.27,12750.05,7205.63,18512.98,8150.23,80866.58,100848.7,19982.12,FALSE,-15749
"AK","Bristol Bay Borough",2,2,4,12984,9335.5,16454.48,19119.33,8087.23,18512.98,8867.45,93360.98,100848.7,7487.72,FALSE,-15749
"AK","Bristol Bay Borough",3,1,4,17520,9301.02,15238.8,15940.44,9718.32,21123.28,11508.8,100350.67,100848.7,498.029999999999,FALSE,-15749
"AK","Bristol Bay Borough",3,2,5,17520,11459.65,16466.22,22309.72,10500.47,21123.28,10767.84,110147.17,100848.7,-9298.47,TRUE,-15749
"AK","Bristol Bay Borough",4,1,5,17520,11448.61,15273.79,19130.82,10496.47,21123.28,11468.52,106461.5,100848.7,-5612.8,TRUE,-15749
"AK","Bristol Bay Borough",4,2,6,17520,14072.29,16255.41,25500.1,11447.13,21123.28,10392.21,116310.42,100848.7,-15461.72,TRUE,-15749
"AK","Denali Borough",0,1,1,12240,3244.9,11381.65,6369.28,5610.79,0,6204.8,45051.42,107174.97,62123.55,FALSE,-17410
"AK","Denali Borough",0,2,2,13332,5948.98,12948.87,12738.56,6986.26,0,7279.84,59234.51,107174.97,47940.46,FALSE,-17410
"AK","Denali Borough",1,1,2,17436,4779.57,12189.19,9559.67,8049.58,11513.15,8333.45,71860.61,107174.97,35314.36,FALSE,-17410
"AK","Denali Borough",1,2,3,17436,7401.6,13652.6,15928.95,8999.64,11513.15,9447.59,84379.54,107174.97,22795.43,FALSE,-17410
"AK","Denali Borough",2,1,3,17436,6758.24,12951.24,12750.05,8766.53,21251.55,10599.21,90512.83,107174.97,16662.14,FALSE,-17410
"AK","Denali Borough",2,2,4,17436,9140.5,14641.51,19119.33,9629.72,21251.55,10658.86,101877.47,107174.97,5297.5,FALSE,-17410
"AK","Denali Borough",3,1,4,21684,9106.75,13930.28,15940.44,11156.7,24247.99,14064.2,110130.35,107174.97,-2955.38,TRUE,-17410
"AK","Denali Borough",3,2,5,21684,11220.29,14802.76,22309.72,11922.52,24247.99,12757.78,118945.04,107174.97,-11770.07,TRUE,-17410
"AK","Denali Borough",4,1,5,21684,11209.48,14117.94,19130.82,11918.6,24247.99,14088.73,116397.56,107174.97,-9222.59,TRUE,-17410
"AK","Denali Borough",4,2,6,21684,13778.35,14734.83,25500.1,12849.41,24247.99,12779.62,125574.29,107174.97,-18399.32,TRUE,-17410
"AK","Dillingham Census Area",0,1,1,10764,3547.75,8633.31,6093.28,5185.71,0,5286.64,39510.7,57301,17790.3,FALSE,-16696
